ID,accuracy,layers,roc_auc,ticker,train_time
1560691126.178557,0.8557823117898435,[],0.9186027499070977,GOOGL,11.465019464492798
1560691126.178557,0.8530612233544693,[],0.92,GOOGL,12.175370693206787
1560691126.178557,0.8544217675721564,[],0.9196209587513936,GOOGL,14.515608310699463
1560691170.5286899,0.8367346927422245,[1],0.9063247863247863,GOOGL,11.302000761032104
1560691170.5286899,0.8353741498220535,[1],0.9034633965068748,GOOGL,12.830676555633545
1560691170.5286899,0.8380952382574276,[1],0.9033667781493868,GOOGL,13.040760278701782
1560691213.55337,0.8204081622110743,[2],0.9036789297658862,GOOGL,11.888000726699829
1560691213.55337,0.8272108832995096,[2],0.899453734671126,GOOGL,14.27677321434021
1560691213.55337,0.8258503402982439,[2],0.9100929022668153,GOOGL,13.651189804077148
1560691259.4684303,0.8299319717348839,[3],0.9114827201783724,GOOGL,18.215522289276123
1560691259.4684303,0.8380952383385224,[3],0.9105982905982906,GOOGL,19.51699423789978
1560691259.4684303,0.834013604387945,[3],0.9139427722036416,GOOGL,17.20880389213562
1560691320.4271371,0.8408163254763804,[4],0.9134596804162022,GOOGL,23.706113576889038
1560691320.4271371,0.8408163266928017,[4],0.9134150873281308,GOOGL,23.337043523788452
1560691320.4271371,0.8367346928233192,[4],0.913816425120773,GOOGL,18.253740072250366
1560691391.8943255,0.8405994540664091,[5],0.912015503875969,GOOGL,24.25510334968567
1560691391.8943255,0.8256130793438945,[5],0.9056164281454979,GOOGL,24.226353883743286
1560691391.8943255,0.8392370575455294,[5],0.913237924865832,GOOGL,22.875093698501587
1560691469.488784,0.8269754758647742,[6],0.9053220035778174,GOOGL,24.884525537490845
1560691469.488784,0.8351498627857551,[6],0.9117248062015504,GOOGL,27.308536767959595
1560691469.488784,0.8256130782070212,[6],0.9024448419797257,GOOGL,25.579527854919434
1560691553.458379,0.8269754758647742,[7],0.906298449612403,GOOGL,25.744112253189087
1560691553.458379,0.8365122606059187,[7],0.9081618962432916,GOOGL,25.851664304733276
1560691553.458379,0.8392370562462456,[7],0.9042859272510435,GOOGL,32.24894452095032
1560691643.4340644,0.8283378736849377,[8],0.9075357781753131,GOOGL,31.472284078598022
1560691643.4340644,0.8351498640850389,[8],0.9055083482409063,GOOGL,33.32573390007019
1560691643.4340644,0.8256130780446107,[8],0.8976147883124627,GOOGL,38.07942986488342
1560691752.7145236,0.8269754771640581,[9],0.9048747763864042,GOOGL,32.0025429725647
1560691752.7145236,0.8269754760271847,[9],0.9037716159809183,GOOGL,34.51835536956787
1560691752.7145236,0.822888283865978,[9],0.8998807394156231,GOOGL,37.597984313964844
1560691862.9750452,0.8226466570024114,[10],0.8952666347820889,GOOGL,38.79154324531555
1560691862.9750452,0.8212824014166693,[10],0.9023509894183057,GOOGL,31.278282642364502
1560691862.9750452,0.8240109134826296,[10],0.8955879715430143,GOOGL,34.70152807235718
1560691974.0087872,0.8403819919770932,"[1, 1]",0.9102723142225144,GOOGL,46.520437240600586
1560691974.0087872,0.830832195883721,"[1, 1]",0.9053140132719555,GOOGL,45.7793390750885
1560692200.6496153,0.8390177347650307,"[2, 2]",0.9057511807257728,GOOGL,45.479695558547974
1560692200.6496153,0.8376534782848124,"[2, 2]",0.9099733963053744,GOOGL,55.672624826431274
1560692200.6496153,0.83492496605622,"[2, 2]",0.9075857894422191,GOOGL,47.99586367607117
1560692356.189186,0.8390177347650307,"[3, 3]",0.9097566808154481,GOOGL,49.65651249885559
1560692356.189186,0.8335607088441576,"[3, 3]",0.9066479344771925,GOOGL,51.38540577888489
1560692356.189186,0.8376534799111328,"[3, 3]",0.9044434148382854,GOOGL,54.71729612350464
1560692518.6192267,0.8403819928715694,"[4, 4]",0.9081275781670353,GOOGL,55.910561323165894
1560692518.6192267,0.8321964539902598,"[4, 4]",0.9027395827105876,GOOGL,66.73797106742859
1560692518.6192267,0.8390177347650307,"[4, 4]",0.9062518682369821,GOOGL,55.431396484375
1560692703.3176217,0.8387978145333587,"[5, 5]",0.9089539598432101,GOOGL,65.22803473472595
1560692703.3176217,0.834699453877621,"[5, 5]",0.9060310132132177,GOOGL,56.711451292037964
1560692703.3176217,0.8292349730033041,"[5, 5]",0.9005448672307704,GOOGL,55.42008090019226
1560692887.0731876,0.8333333336590417,"[6, 6]",0.9095160649643624,GOOGL,75.95585584640503
1560692887.0731876,0.8278688527847249,"[6, 6]",0.900477414616232,GOOGL,77.0047037601471
1560692887.0731876,0.8306010938733002,"[6, 6]",0.9040374137168639,GOOGL,65.57008099555969
1560693112.1938887,0.8210382523432456,"[7, 7]",0.8984163625053401,GOOGL,71.57506918907166
1560693112.1938887,0.8346994545290379,"[7, 7]",0.9084143389269039,GOOGL,67.82101011276245
1560693112.1938887,0.8142076502732241,"[7, 7]",0.8932599848606354,GOOGL,74.39001941680908
1560693332.724824,0.8333333336590417,"[8, 8]",0.9104828857727446,GOOGL,87.5687210559845
1560693332.724824,0.8142076505989325,"[8, 8]",0.8982514783364688,GOOGL,83.78064036369324
1560693332.724824,0.8237704921289871,"[8, 8]",0.8965426787681653,GOOGL,120.50511717796326
1560693631.3763106,0.8278688518075995,"[9, 9]",0.9060385079481665,GOOGL,79.5957179069519
1560693631.3763106,0.8265027315890203,"[9, 9]",0.8985512677344166,GOOGL,97.55812525749207
1560693631.3763106,0.816939891036091,"[9, 9]",0.8968874365758055,GOOGL,84.15507936477661
1560693899.300321,0.8276333786068145,"[10, 10]",0.9085749936108479,GOOGL,81.4194085597992
1560693899.300321,0.8235294122539369,"[10, 10]",0.8980967843773959,GOOGL,94.9944155216217
1560693899.300321,0.8248974013100244,"[10, 10]",0.9008854612967724,GOOGL,103.93715739250183
