ID,accuracy,pca,roc_auc,ticker,train_time
1560687588.107777,0.7746031925791785,,0.8150761256883705,GOOGL,14.702473163604736
1560687588.107777,0.7764172498060733,,0.8221056041464204,GOOGL,18.808860540390015
1560687588.107777,0.7727891379473161,,0.8174455088157713,GOOGL,13.730558156967163
1560687641.834533,0.774603196390632,0.999,0.8097015132583646,GOOGL,10.237972974777222
1560687641.834533,0.7764172485085572,0.999,0.8116571798787542,GOOGL,12.780027627944946
1560687641.834533,0.7755102341677866,0.999,0.8118367346938776,GOOGL,11.300997257232666
1560687683.6665564,0.7582766620480285,0.99,0.7814151510944514,GOOGL,10.908006191253662
1560687683.6665564,0.7578231542288851,0.99,0.7790281827016521,GOOGL,12.721993207931519
1560687683.6665564,0.7614512712777066,0.99,0.7854569855152945,GOOGL,12.133379459381104
1560687726.5450604,0.7147392560835598,0.97,0.7126771252718774,GOOGL,13.23414421081543
1560687726.5450604,0.7160997977062148,0.97,0.7162330510435466,GOOGL,12.651682615280151
1560687726.5450604,0.7156462859945233,0.97,0.7133657272432783,GOOGL,13.377005100250244
1560687772.177098,0.704761927144057,0.95,0.6893868295617567,GOOGL,13.205994606018066
1560687772.177098,0.7024943582054709,0.95,0.7055476884631404,GOOGL,13.314442873001099
1560687772.177098,0.7002267788867561,0.95,0.6960025915127955,GOOGL,14.478468179702759
1560687819.5512738,0.6925522525888698,0.9,0.6676352560342715,GOOGL,20.78087568283081
1560687819.5512738,0.6902815852243179,0.9,0.6665252915976806,GOOGL,17.390498638153076
1560687819.5512738,0.6911898521701386,0.9,0.6666348031390834,GOOGL,16.056214332580566
1560687880.2641041,0.6725704114508564,0.8,0.6315177928412863,GOOGL,17.893388032913208
1560687880.2641041,0.6693914803886933,0.8,0.6278714297381375,GOOGL,16.214492082595825
1560687880.2641041,0.6707538775592149,0.8,0.6303075975023944,GOOGL,16.412355661392212
