ID,accuracy,layers,roc_auc,ticker,train_time
1560694186.4847553,0.77687076143667,[],0.8196797630616872,GOOGL,94.78744411468506
1560694186.4847553,0.7759637393918978,[],0.8203517053079736,GOOGL,78.74713182449341
1560694186.4847553,0.776870765410313,[],0.8215243648479801,GOOGL,90.23156714439392
1560694457.5021768,0.7696145313937648,[1],0.7405618029524735,GOOGL,81.80746674537659
1560694457.5021768,0.7691610183034624,[1],0.7708713961775187,GOOGL,82.76390409469604
1560694457.5021768,0.7727891405423483,[1],0.7120412790966727,GOOGL,94.80520725250244
1560694723.8801298,0.7664399194879596,[2],0.7739247535748994,GOOGL,93.24673461914062
1560694723.8801298,0.7750567171849361,[2],0.8298893979360452,GOOGL,109.39866828918457
1560694723.8801298,0.7682539948800794,[2],0.8225146929520107,GOOGL,98.96237015724182
1560695033.637018,0.7714285898370807,[3],0.8076014623536489,GOOGL,91.86928582191467
1560695033.637018,0.7746031847940821,[3],0.8057559350270722,GOOGL,99.51757717132568
1560695033.637018,0.7637188401351981,[3],0.800421120829284,GOOGL,93.25944232940674
1560695325.7132905,0.7714285899181755,[4],0.8447211809894026,GOOGL,103.91752123832703
1560695325.7132905,0.770068049511942,[4],0.8403702161136564,GOOGL,107.28838634490967
1560695325.7132905,0.7727891276482822,[4],0.835827664399093,GOOGL,124.4618752002716
1560695668.737814,0.7738419693237429,[5],0.8254766536242751,GOOGL,107.11351799964905
1560695668.737814,0.7706630493054922,[5],0.8329197261840238,GOOGL,116.78204584121704
1560695668.737814,0.7724795807609766,[5],0.8345856009028207,GOOGL,111.19522476196289
1560696011.5956812,0.7706630528785228,[6],0.8345122838539153,GOOGL,128.90070509910583
1560696011.5956812,0.7674841249021588,[6],0.8201616316105994,GOOGL,111.31874442100525
1560696011.5956812,0.7733878516046487,[6],0.839345640698201,GOOGL,158.32570886611938
1560696418.6304166,0.7688465162259032,[7],0.8292687227613244,GOOGL,121.83022880554199
1560696418.6304166,0.7656676015671983,[7],0.84260871340644,GOOGL,125.40676069259644
1560696418.6304166,0.7683923861636128,[7],0.8225616048823586,GOOGL,124.59676814079285
1560696798.367202,0.7656675903608754,[8],0.8329252945674852,GOOGL,117.24600386619568
1560696798.367202,0.7742961107547667,[8],0.8391906540251988,GOOGL,154.58106446266174
1560696798.367202,0.7665758547081285,[8],0.8294385584568895,GOOGL,141.89134621620178
1560697220.2752786,0.7647593303987051,[9],0.8100930662489141,GOOGL,130.73231720924377
1560697220.2752786,0.7693006509980973,[9],0.8230831767998871,GOOGL,159.47161769866943
1560697220.2752786,0.7706630551522694,[9],0.8208019957086325,GOOGL,137.96079444885254
1560697656.2783115,0.7726239370941953,[10],0.7940186752380936,GOOGL,126.20742559432983
1560697656.2783115,0.7748976952382357,[10],0.8259046807211761,GOOGL,139.6617968082428
1560697656.2783115,0.7798999761006354,[10],0.8468784955582564,GOOGL,187.96776294708252
1560698118.3953216,0.6666666865348816,"[1, 1]",0.49751390778519566,GOOGL,122.26712965965271
1560698118.3953216,0.6666666865348816,"[1, 1]",0.5200125072353985,GOOGL,120.58003163337708
1560698118.3953216,0.6666666865348816,"[1, 1]",0.519679818496191,GOOGL,123.19820237159729
1560698493.9753842,0.7694406719194753,"[2, 2]",0.7597680205624906,GOOGL,137.43147659301758
1560698493.9753842,0.7717144412851269,"[2, 2]",0.7554556300240651,GOOGL,141.4287452697754
1560698493.9753842,0.7680764254411279,"[2, 2]",0.7920802398709075,GOOGL,179.72630786895752
1560698960.662134,0.7717144288437754,"[3, 3]",0.8471418547560066,GOOGL,177.62495517730713
1560698960.662134,0.7676216638755018,"[3, 3]",0.8166173139595264,GOOGL,172.79649019241333
1560698960.662134,0.7703501745590897,"[3, 3]",0.7920318487815683,GOOGL,182.86718010902405
1560699502.0068603,0.77353344095355,"[4, 4]",0.8394020722553411,GOOGL,192.0718183517456
1560699502.0068603,0.768076422432435,"[4, 4]",0.8324626039245173,GOOGL,164.42417001724243
1560699502.0068603,0.7717144336414207,"[4, 4]",0.8245515914154209,GOOGL,153.94844102859497
1560700020.7462115,0.764571960180835,"[5, 5]",0.7866006375227688,GOOGL,153.71477580070496
1560700020.7462115,0.7695810745974057,"[5, 5]",0.8099851817014543,GOOGL,155.68063044548035
1560700020.7462115,0.7691257003226567,"[5, 5]",0.8270570187225657,GOOGL,168.75263786315918
1560700506.9982378,0.7659380885421253,"[6, 6]",0.8267126892412434,GOOGL,159.55773615837097
1560700506.9982378,0.7659380882164168,"[6, 6]",0.8181875018662845,GOOGL,177.18073177337646
1560700506.9982378,0.7727686945206481,"[6, 6]",0.8134583370659021,GOOGL,175.17765188217163
1560701027.323974,0.770036446266487,"[7, 7]",0.8210569142106363,GOOGL,174.50114059448242
1560701027.323974,0.7668488315545796,"[7, 7]",0.8262657141150824,GOOGL,190.8056092262268
1560701027.323974,0.7714025658336493,"[7, 7]",0.8417465436411957,GOOGL,184.1656756401062
1560701585.0801866,0.7718579401083983,"[8, 8]",0.8518020842664755,GOOGL,210.99409317970276
1560701585.0801866,0.7773224206570067,"[8, 8]",0.8547554794111499,GOOGL,223.30685019493103
1560701585.0801866,0.7814207708900743,"[8, 8]",0.853009103735555,GOOGL,246.48427653312683
1560702273.9161513,0.7759563017412613,"[9, 9]",0.8224370315626027,GOOGL,184.90614986419678
1560702273.9161513,0.7704918221697781,"[9, 9]",0.8350913732867509,GOOGL,197.83413100242615
1560702273.9161513,0.7791439083104577,"[9, 9]",0.8507266378512347,GOOGL,235.55243039131165
